RoarPyWaypoint(location=array([-283.79998779,  391.69998169,    0.59999996]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.91985925]), lane_width=12.0)
RoarPyWaypoint(location=array([-297.88891602,  432.56161499,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-298.534729  ,  434.45446777,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-299.18057251,  436.34732056,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-299.8263855 ,  438.24017334,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-300.41998291,  439.97998047,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-301.06582642,  441.87283325,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-301.7116394 ,  443.76568604,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-302.35748291,  445.65853882,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-303.0032959,  447.5513916,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-303.6491394,  449.4442749,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-304.29495239,  451.33712769,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-304.9407959 ,  453.22998047,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-305.58660889,  455.12283325,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-306.23245239,  457.01568604,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-306.87826538,  458.90853882,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-307.52410889,  460.8013916 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-308.16992188,  462.69424438,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-308.81576538,  464.58712769,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-309.46157837,  466.47998047,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-310.10736084,  468.37286377,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89891535]), lane_width=11.999990463256836)
RoarPyWaypoint(location=array([-310.74633789,  470.26800537,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89307477]), lane_width=12.0)
RoarPyWaypoint(location=array([-311.37426758,  472.16690063,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.88723419]), lane_width=11.999974250793457)
RoarPyWaypoint(location=array([-311.99105835,  474.06939697,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.88139375]), lane_width=12.000030517578125)
RoarPyWaypoint(location=array([-312.59677124,  475.97546387,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.87555317]), lane_width=11.999975204467773)
RoarPyWaypoint(location=array([-313.1913147,  477.8850708,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.86971259]), lane_width=12.000020027160645)
RoarPyWaypoint(location=array([-313.77468872,  479.7980957 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.86387201]), lane_width=12.000028610229492)
RoarPyWaypoint(location=array([-314.34689331,  481.71447754,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.85803157]), lane_width=11.999985694885254)
RoarPyWaypoint(location=array([-314.90789795,  483.63418579,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.85219099]), lane_width=11.999982833862305)
RoarPyWaypoint(location=array([-315.45767212,  485.55712891,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.84635041]), lane_width=12.000004768371582)
RoarPyWaypoint(location=array([-315.99621582,  487.48324585,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.84050996]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([-316.52349854,  489.41247559,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.83466952]), lane_width=12.000018119812012)
RoarPyWaypoint(location=array([-317.03948975,  491.3447876 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.82882894]), lane_width=11.999993324279785)
RoarPyWaypoint(location=array([-317.54418945,  493.2800293 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.82298836]), lane_width=12.000007629394531)
RoarPyWaypoint(location=array([-318.03759766,  495.2182312 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.81714792]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-318.51965332,  497.15927124,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.81130734]), lane_width=12.000007629394531)
RoarPyWaypoint(location=array([-318.99038696,  499.10308838,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.80546676]), lane_width=11.999992370605469)
RoarPyWaypoint(location=array([-319.44973755,  501.04959106,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.79962631]), lane_width=12.00000286102295)
RoarPyWaypoint(location=array([-319.8977356,  502.9987793,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.79378573]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([-320.33432007,  504.95056152,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.78794516]), lane_width=12.000005722045898)
RoarPyWaypoint(location=array([-320.75952148,  506.90481567,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.78210458]), lane_width=12.0)
RoarPyWaypoint(location=array([-321.17327881,  508.86154175,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.77626413]), lane_width=11.999971389770508)
RoarPyWaypoint(location=array([-321.57562256,  510.82067871,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.77042355]), lane_width=11.999969482421875)
RoarPyWaypoint(location=array([-321.9664917 ,  512.78210449,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.76458297]), lane_width=12.000005722045898)
RoarPyWaypoint(location=array([-322.34591675,  514.74578857,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.75874253]), lane_width=12.000008583068848)
RoarPyWaypoint(location=array([-322.71386719,  516.71160889,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.75290195]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-323.0703125 ,  518.67962646,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.74706137]), lane_width=12.000020980834961)
RoarPyWaypoint(location=array([-323.41525269,  520.6496582 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.74122079]), lane_width=12.000008583068848)
RoarPyWaypoint(location=array([-323.74871826,  522.62164307,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.73538035]), lane_width=11.999983787536621)
RoarPyWaypoint(location=array([-324.07061768,  524.59558105,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.72953977]), lane_width=12.000007629394531)
RoarPyWaypoint(location=array([-324.38101196,  526.57128906,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.72369919]), lane_width=11.999979972839355)
RoarPyWaypoint(location=array([-324.6784668 ,  528.54907227,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.71639494]), lane_width=12.000008583068848)
RoarPyWaypoint(location=array([-324.96136475,  530.5289917 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.70903729]), lane_width=11.999972343444824)
RoarPyWaypoint(location=array([-325.22967529,  532.51092529,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.70167978]), lane_width=11.999980926513672)
RoarPyWaypoint(location=array([-325.48339844,  534.49475098,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.69432213]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-325.72250366,  536.48040771,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.68696448]), lane_width=12.000006675720215)
RoarPyWaypoint(location=array([-325.94702148,  538.4677124 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.67960683]), lane_width=11.999979019165039)
RoarPyWaypoint(location=array([-326.15689087,  540.45666504,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.67224918]), lane_width=11.999995231628418)
RoarPyWaypoint(location=array([-326.35214233,  542.44714355,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.66489167]), lane_width=11.999979972839355)
RoarPyWaypoint(location=array([-326.53271484,  544.43896484,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.65753402]), lane_width=12.000007629394531)
RoarPyWaypoint(location=array([-326.69863892,  546.43206787,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.65017637]), lane_width=12.000004768371582)
RoarPyWaypoint(location=array([-326.84991455,  548.42633057,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.64281886]), lane_width=11.999982833862305)
RoarPyWaypoint(location=array([-326.98648071,  550.42163086,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.63546121]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([-327.10836792,  552.41790771,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.62810369]), lane_width=11.999981880187988)
RoarPyWaypoint(location=array([-327.21557617,  554.41503906,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.62074604]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([-327.30810547,  556.41290283,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.6133884]), lane_width=12.000020027160645)
RoarPyWaypoint(location=array([-327.38589478,  558.41137695,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.60603075]), lane_width=12.000001907348633)
RoarPyWaypoint(location=array([-327.44900513,  560.41040039,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.5986731]), lane_width=12.00002384185791)
RoarPyWaypoint(location=array([-327.49737549,  562.40979004,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.59131558]), lane_width=12.00002384185791)
RoarPyWaypoint(location=array([-327.53106689,  564.40948486,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.58395794]), lane_width=12.000001907348633)
RoarPyWaypoint(location=array([-327.55004883,  566.40942383,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.57660029]), lane_width=12.000019073486328)
RoarPyWaypoint(location=array([-327.55429077,  568.40942383,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.56924277]), lane_width=12.000014305114746)
RoarPyWaypoint(location=array([-327.54382324,  570.40936279,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.56188512]), lane_width=11.999987602233887)
RoarPyWaypoint(location=array([-327.51864624,  572.40924072,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.55452761]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-327.47875977,  574.40881348,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.54716996]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([-327.4241333 ,  576.40808105,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.53981218]), lane_width=12.000020980834961)
RoarPyWaypoint(location=array([-327.35482788,  578.40686035,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.53245466]), lane_width=11.999968528747559)
RoarPyWaypoint(location=array([-327.27081299,  580.40509033,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.52509702]), lane_width=12.000016212463379)
RoarPyWaypoint(location=array([-327.17208862,  582.40264893,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.5177395]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([-327.0586853 ,  584.39941406,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.51038185]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([-326.93060303,  586.39532471,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.5030242]), lane_width=12.000020027160645)
RoarPyWaypoint(location=array([-326.79318237,  588.39056396,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-326.65567017,  590.38580322,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-326.51812744,  592.38110352,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-326.38058472,  594.37634277,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-326.24307251,  596.37158203,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-326.10552979,  598.36688232,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-325.96798706,  600.36212158,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-325.83047485,  602.35742188,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.50197638]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-325.69143677,  604.3526001 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.49896315]), lane_width=11.999998092651367)
RoarPyWaypoint(location=array([-325.54193115,  606.34698486,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.49298781]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-325.38052368,  608.3404541 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.48701248]), lane_width=11.999982833862305)
RoarPyWaypoint(location=array([-325.20718384,  610.33294678,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.48103701]), lane_width=12.000030517578125)
RoarPyWaypoint(location=array([-325.02197266,  612.32434082,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.47506168]), lane_width=12.000020027160645)
RoarPyWaypoint(location=array([-324.8248291,  614.3145752,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.46908634]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-324.61584473,  616.3036499 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.46311101]), lane_width=11.999984741210938)
RoarPyWaypoint(location=array([-324.39492798,  618.29138184,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.45713554]), lane_width=11.999972343444824)
RoarPyWaypoint(location=array([-324.16217041,  620.27783203,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.45116021]), lane_width=12.000024795532227)
RoarPyWaypoint(location=array([-323.9175415 ,  622.26281738,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.44518487]), lane_width=12.000006675720215)
RoarPyWaypoint(location=array([-323.66104126,  624.24627686,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.43920954]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([-323.3927002 ,  626.22821045,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.43323407]), lane_width=12.000014305114746)
RoarPyWaypoint(location=array([-323.11254883,  628.20843506,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.42725874]), lane_width=11.999994277954102)
RoarPyWaypoint(location=array([-322.82052612,  630.18701172,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.4212834]), lane_width=12.00002384185791)
RoarPyWaypoint(location=array([-322.51672363,  632.16381836,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.4153082]), lane_width=12.0)
RoarPyWaypoint(location=array([-322.20108032,  634.13873291,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.40933273]), lane_width=12.00002384185791)
RoarPyWaypoint(location=array([-321.87365723,  636.11175537,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.4033574]), lane_width=11.99997329711914)
RoarPyWaypoint(location=array([-321.53445435,  638.08276367,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.39738206]), lane_width=11.999990463256836)
RoarPyWaypoint(location=array([-321.18347168,  640.05175781,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.39140673]), lane_width=11.999994277954102)
RoarPyWaypoint(location=array([-320.82073975,  642.01855469,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.38543139]), lane_width=12.000005722045898)
RoarPyWaypoint(location=array([-320.44625854,  643.98321533,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.37945593]), lane_width=12.000004768371582)
RoarPyWaypoint(location=array([-320.06005859,  645.94555664,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.37348059]), lane_width=11.999987602233887)
RoarPyWaypoint(location=array([-319.66210938,  647.90557861,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.36750526]), lane_width=11.999980926513672)
RoarPyWaypoint(location=array([-319.25247192,  649.86315918,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.36152992]), lane_width=12.000019073486328)
RoarPyWaypoint(location=array([-318.83114624,  651.8182373 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.35555445]), lane_width=11.999982833862305)
RoarPyWaypoint(location=array([-318.39816284,  653.77081299,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.34957912]), lane_width=12.000018119812012)
RoarPyWaypoint(location=array([-317.95349121,  655.72076416,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.34360379]), lane_width=12.00001049041748)
RoarPyWaypoint(location=array([-317.49719238,  657.66802979,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.33762845]), lane_width=12.000015258789062)
RoarPyWaypoint(location=array([-317.02905273,  659.61248779,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.33060024]), lane_width=12.000025749206543)
RoarPyWaypoint(location=array([-316.5418396 ,  661.55218506,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.31882027]), lane_width=11.999974250793457)
RoarPyWaypoint(location=array([-316.03179932,  663.48608398,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.30704045]), lane_width=12.000020980834961)
RoarPyWaypoint(location=array([-315.49902344,  665.41375732,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.29526062]), lane_width=12.00001335144043)
RoarPyWaypoint(location=array([-314.94360352,  667.33508301,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.28348066]), lane_width=12.00001049041748)
RoarPyWaypoint(location=array([-314.36553955,  669.24969482,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.27170097]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-313.76501465,  671.15740967,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.25992101]), lane_width=11.999995231628418)
RoarPyWaypoint(location=array([-313.14202881,  673.05792236,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.24814118]), lane_width=11.999983787536621)
RoarPyWaypoint(location=array([-312.49667358,  674.95092773,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.23636135]), lane_width=11.999999046325684)
RoarPyWaypoint(location=array([-311.82910156,  676.83618164,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.22458139]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([-311.13934326,  678.71350098,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.21280156]), lane_width=11.999964714050293)
RoarPyWaypoint(location=array([-310.42755127,  680.58251953,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.20102174]), lane_width=12.000016212463379)
RoarPyWaypoint(location=array([-309.69378662,  682.4430542 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.18924191]), lane_width=11.99998950958252)
RoarPyWaypoint(location=array([-308.93811035,  684.2947998 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.17746208]), lane_width=11.999984741210938)
RoarPyWaypoint(location=array([-308.16070557,  686.13751221,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.16568212]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-307.36166382,  687.97094727,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.15390229]), lane_width=11.999990463256836)
RoarPyWaypoint(location=array([-306.54107666,  689.7947998 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.14212247]), lane_width=11.99999713897705)
RoarPyWaypoint(location=array([-305.69903564,  691.60888672,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.13034264]), lane_width=11.999982833862305)
RoarPyWaypoint(location=array([-304.83569336,  693.41296387,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.11856281]), lane_width=11.999995231628418)
RoarPyWaypoint(location=array([-303.95117188,  695.20672607,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.10678285]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([-303.04559326,  696.9899292 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.09500309]), lane_width=12.000042915344238)
RoarPyWaypoint(location=array([-302.11904907,  698.7623291 ,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  1.0832232]), lane_width=12.00002670288086)
RoarPyWaypoint(location=array([-301.17169189,  700.52374268,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.07144337]), lane_width=12.000038146972656)
RoarPyWaypoint(location=array([-300.20367432,  702.27386475,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.05966348]), lane_width=12.000019073486328)
RoarPyWaypoint(location=array([-299.21508789,  704.01245117,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.04788358]), lane_width=12.000029563903809)
RoarPyWaypoint(location=array([-298.20608521,  705.73925781,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.03610382]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([-297.17681885,  707.45404053,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.02432386]), lane_width=12.000001907348633)
RoarPyWaypoint(location=array([-296.12744141,  709.15661621,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.01254397]), lane_width=11.99997329711914)
RoarPyWaypoint(location=array([-295.05807495,  710.84667969,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.00136475]), lane_width=12.000017166137695)
RoarPyWaypoint(location=array([-293.97976685,  712.53106689,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.00136475]), lane_width=12.000017166137695)
RoarPyWaypoint(location=array([-292.90145874,  714.21551514,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.00136475]), lane_width=12.000017166137695)
RoarPyWaypoint(location=array([-291.82241821,  715.89941406,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.99948549]), lane_width=11.999958992004395)
RoarPyWaypoint(location=array([-290.73757935,  717.57971191,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.99548549]), lane_width=12.000031471252441)
RoarPyWaypoint(location=array([-289.64602661,  719.25549316,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.99148549]), lane_width=11.999958992004395)
RoarPyWaypoint(location=array([-288.54779053,  720.92700195,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.98748555]), lane_width=12.00002670288086)
RoarPyWaypoint(location=array([-287.44287109,  722.59411621,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.98348555]), lane_width=12.000016212463379)
